Tree_ID,Latitude,Longitude,Species,Height_m,Canopy_Width_m,Canopy_Condition,Disease_Symptom,Leaf_Color_Deviation,Bark_Damage_Score,Root_Exposure,Soil_Moisture_%,Ambient_Temperature_C,Humidity_%,CO2_ppm,PM2.5_ug_m3,NO2_ppb,O3_ppb,Air_Quality_Index,Urban_Zone,Year_Planted,Recent_Pruning_Year,Tree_Crown_Diameter_m,Crown_Density_%,Proximity_to_Road_m
TREE_01443,37.677500087721825,-122.30033370990039,Willow,8.33,3.14,Sparse,None,0.32,0,0,25.62,29.6,85.2,399.3,11.3,24.1,45.4,Unhealthy,Zone B,1958,2008.0,4.24,98.3,26.83
TREE_01444,37.847256901751,-122.29516356535375,Pine,13.11,3.58,Full,None,0.44,10,0,17.66,31.8,63.9,382.0,8.3,13.3,46.0,Unhealthy for Sensitive Groups,Zone B,2020,2022.0,4.08,60.7,94.28
TREE_01445,37.570859915778954,-122.01088966573673,Cedar,12.29,5.97,Sparse,Bacterial Wilt,0.47,5,0,32.85,33.0,52.4,327.6,10.5,23.2,43.5,Good,Zone B,2006,2007.0,6.84,20.7,32.44
TREE_01446,37.777050380890465,-122.40955404931056,Birch,15.18,3.48,Sparse,Bacterial Wilt,0.28,10,0,18.93,18.5,54.2,432.8,18.2,11.7,44.2,Good,Zone E,1959,,3.05,67.8,41.44
TREE_01447,37.83524611585924,-122.1004210144476,Birch,8.59,5.81,Sparse,Leaf Spot,0.38,9,1,5.93,28.9,80.3,493.6,10.7,27.4,37.4,Good,Zone B,2013,,5.04,10.7,60.4
TREE_01448,37.87784568778961,-122.33290364291345,Oak,6.14,2.95,None,Fungal Infection,0.6,10,1,19.42,34.3,31.6,413.9,18.3,24.3,20.9,Unhealthy for Sensitive Groups,Zone E,1990,,5.48,10.6,31.66
TREE_01449,37.77329921131586,-122.13456482711192,Redwood,8.48,7.65,Partial,Insect Infestation,0.58,4,0,28.86,28.0,30.7,414.8,13.9,32.2,16.9,Unhealthy for Sensitive Groups,Zone E,1962,,3.18,26.1,66.18
TREE_01450,37.69886990560337,-122.28999449785216,Maple,10.63,3.84,Full,None,0.64,2,0,24.41,22.0,32.8,475.0,10.6,27.2,19.3,Unhealthy,Zone C,1965,,3.1,34.4,28.94
TREE_01451,37.747138896080486,-122.21082011844173,Cedar,10.17,4.66,Full,Insect Infestation,0.35,9,0,33.99,27.7,58.2,495.2,6.9,19.4,34.5,Moderate,Zone C,2021,2004.0,2.25,33.7,52.73
TREE_01452,37.84756199379149,-122.08369411333693,Cedar,8.82,5.5,Sparse,Fungal Infection,0.32,1,0,30.3,28.8,64.9,391.2,11.4,35.4,16.6,Very Unhealthy,Zone D,2009,2009.0,2.84,49.9,55.96
TREE_01453,37.72824389865553,-122.09791721750805,Redwood,4.27,4.15,None,Root Rot,0.61,0,0,20.8,22.9,67.5,363.9,10.0,23.8,31.7,Unhealthy,Zone D,1980,,4.98,56.2,80.06
TREE_01454,37.51215482387873,-122.06678840823015,Birch,11.41,5.22,None,Bacterial Wilt,0.13,1,0,11.2,17.1,73.9,421.8,17.9,-3.1,35.6,Good,Zone A,2004,,3.87,48.0,86.01
TREE_01455,37.87237947820279,-122.47019133732768,Birch,15.92,5.86,Full,Root Rot,0.25,3,0,5.11,27.1,41.4,407.9,21.8,13.9,28.2,Moderate,Zone B,2020,2014.0,4.77,43.6,68.16
TREE_01456,37.77581070041262,-122.15397472348013,Oak,11.39,6.44,Sparse,Bacterial Wilt,0.04,5,0,34.42,31.0,45.7,448.3,17.2,18.5,30.4,Very Unhealthy,Zone E,1983,,5.0,70.3,27.0
TREE_01457,37.770605354310895,-122.43000631163912,Maple,11.83,6.19,Full,Bacterial Wilt,0.07,4,0,33.15,35.0,44.6,400.2,8.3,33.1,56.1,Good,Zone A,1953,,3.99,32.4,46.39
TREE_01458,37.58627006095909,-122.2920907159908,Cedar,11.72,4.74,Sparse,None,0.24,3,0,13.22,19.5,39.0,403.8,12.3,15.7,29.7,Unhealthy for Sensitive Groups,Zone C,2004,2016.0,2.91,66.5,56.28
TREE_01459,37.76355418809306,-122.22570579247265,Willow,11.19,4.78,Sparse,Bacterial Wilt,0.02,7,1,24.15,29.0,44.7,352.0,10.9,13.1,34.0,Moderate,Zone E,2015,,4.75,96.1,29.78
TREE_01460,37.65754576226166,-122.29863025762658,Elm,12.79,8.52,Partial,Fungal Infection,0.25,6,0,26.88,15.6,66.8,451.1,9.1,-0.5,41.8,Unhealthy for Sensitive Groups,Zone A,2008,,1.04,52.5,94.0
TREE_01461,37.7604931908166,-122.24019416209849,Elm,11.19,6.42,Sparse,None,0.65,3,1,22.34,34.4,52.0,368.2,11.5,32.9,39.1,Very Unhealthy,Zone C,1990,,5.47,56.0,10.86
TREE_01462,37.542637212123196,-122.00173684560069,Maple,9.06,3.62,Partial,None,0.06,9,0,30.29,15.3,76.1,340.3,11.3,34.4,38.3,Very Unhealthy,Zone D,2015,,1.35,75.5,83.35
TREE_01463,37.763138121841216,-122.43239134314358,Pine,7.61,5.15,Full,Insect Infestation,0.44,4,0,7.33,22.2,62.2,267.4,21.2,8.6,32.7,Good,Zone B,1996,,2.5,55.7,42.64
TREE_01464,37.89976549030826,-122.16227197733178,Oak,9.25,4.5,Full,None,0.91,9,0,31.89,16.5,42.7,394.9,13.6,5.8,32.8,Unhealthy for Sensitive Groups,Zone B,1976,,3.53,23.0,94.55
TREE_01465,37.519284815544225,-122.30199951680719,Maple,10.94,4.8,None,None,0.79,4,0,16.76,27.4,58.0,364.5,16.1,30.4,11.8,Unhealthy,Zone A,1970,2002.0,2.6,65.0,53.25
TREE_01466,37.89086967368853,-122.43349510054634,Redwood,9.05,3.16,Partial,Insect Infestation,0.31,2,0,19.42,21.8,65.6,388.3,17.2,32.9,47.4,Unhealthy,Zone C,1960,,1.8,55.8,72.97
TREE_01467,37.66276318428915,-122.42063161831284,Redwood,10.94,4.38,Full,Root Rot,0.92,8,0,18.34,29.7,82.0,375.6,15.8,12.8,24.1,Unhealthy for Sensitive Groups,Zone A,1971,,4.12,95.6,73.45
TREE_01468,37.8483013801349,-122.0253634468772,Elm,11.32,7.72,Partial,Bacterial Wilt,0.33,10,0,20.94,24.7,80.0,381.7,18.8,17.7,38.8,Very Unhealthy,Zone C,1972,,3.43,18.4,69.8
TREE_01469,37.812954193623305,-122.06019925164412,Birch,12.5,5.87,Full,None,0.07,4,1,22.95,23.4,55.6,358.8,10.1,25.6,27.7,Moderate,Zone C,2014,,3.38,58.3,4.94
TREE_01470,37.726806504394666,-122.04647901979249,Elm,13.85,1.26,Partial,None,0.99,9,1,26.31,22.0,68.9,362.6,16.8,9.8,61.1,Unhealthy for Sensitive Groups,Zone B,2008,2001.0,3.72,65.5,62.22
TREE_01471,37.79537968370053,-122.00423361208631,Birch,10.23,6.83,Partial,None,0.87,1,0,20.75,16.7,47.9,352.5,21.8,10.9,21.7,Good,Zone D,2019,,2.37,65.8,89.48
TREE_01472,37.85140622452054,-122.39584230499574,Oak,6.08,6.63,Sparse,None,0.47,3,0,25.54,19.1,68.0,390.2,8.4,16.6,53.7,Unhealthy,Zone D,1977,2001.0,4.81,15.4,84.35
TREE_01473,37.66165612866041,-122.32228033131797,Birch,8.96,4.46,Full,None,0.67,3,1,15.15,27.8,84.8,342.7,10.3,10.0,28.7,Good,Zone E,1974,,2.91,39.5,91.49
TREE_01474,37.630813264625296,-122.16539048503756,Maple,10.13,6.08,None,Leaf Spot,0.67,4,0,33.1,24.9,67.5,462.9,9.9,49.1,37.3,Moderate,Zone C,1950,2020.0,4.57,33.6,44.44
TREE_01475,37.76703735422543,-122.25809873006968,Birch,4.49,3.71,Sparse,Fungal Infection,0.19,7,0,6.94,16.4,48.2,399.5,22.8,32.5,30.2,Unhealthy,Zone B,1981,,3.79,71.2,45.46
TREE_01476,37.823138376776505,-122.29080523331083,Pine,14.17,4.29,None,None,0.2,4,0,21.37,25.9,68.6,323.2,6.7,17.0,45.9,Unhealthy,Zone C,1978,,3.79,76.2,80.82
TREE_01477,37.80491405391064,-122.32109437533221,Redwood,10.43,7.25,Partial,None,0.47,0,0,7.62,16.1,84.2,411.0,12.6,21.3,31.3,Unhealthy,Zone E,1969,2019.0,3.52,28.8,30.35
TREE_01478,37.81912545954345,-122.20310968402828,Maple,11.14,4.59,Sparse,Fungal Infection,0.91,1,0,18.28,25.2,38.2,355.1,14.5,4.0,33.2,Good,Zone B,1995,2021.0,5.05,84.3,76.51
TREE_01479,37.67423332592517,-122.21220328567996,Redwood,14.1,2.2,Partial,Fungal Infection,0.01,2,0,12.73,34.3,58.9,452.2,9.3,24.0,31.0,Very Unhealthy,Zone C,2006,,5.35,53.7,50.44
TREE_01480,37.827133686470006,-122.41927108296788,Oak,8.11,4.91,Full,None,0.78,2,0,33.11,21.1,49.3,369.3,7.0,27.4,35.7,Good,Zone D,1961,,5.24,33.7,26.43
TREE_01481,37.54808362214824,-122.26413008124078,Maple,11.72,4.88,Full,Leaf Spot,0.06,9,0,5.39,29.5,44.5,469.7,7.9,13.3,20.7,Very Unhealthy,Zone D,2021,,3.73,37.0,64.37
TREE_01482,37.71779563918434,-122.22326411189508,Pine,9.67,6.8,None,None,0.48,5,0,16.74,29.9,53.8,450.0,10.7,15.5,7.9,Unhealthy for Sensitive Groups,Zone E,1988,,4.02,33.7,29.58
TREE_01483,37.50230346419925,-122.21485653063431,Oak,9.45,5.02,Full,None,0.64,8,0,28.46,23.1,53.6,582.0,9.3,10.9,34.6,Unhealthy,Zone D,1957,,3.06,64.4,67.18
TREE_01484,37.629834331960105,-122.39494640354383,Elm,7.68,4.37,None,None,0.69,9,0,10.65,26.9,42.6,404.9,19.2,33.8,51.3,Good,Zone C,1977,2003.0,3.39,57.4,56.93
TREE_01485,37.64658461394856,-122.12886430387385,Pine,15.0,6.57,Partial,Fungal Infection,0.06,0,0,29.47,24.4,54.2,434.5,9.4,33.3,25.9,Moderate,Zone E,1980,,2.55,94.5,72.22
TREE_01486,37.658469076643705,-122.48740045258947,Oak,8.87,5.18,Sparse,None,0.42,5,0,30.79,20.7,68.0,400.6,9.3,23.9,37.7,Moderate,Zone A,1964,,3.29,34.6,59.91
TREE_01487,37.778186882675946,-122.32258407222842,Willow,12.1,3.87,Full,None,0.58,8,0,26.24,30.1,31.5,404.3,14.0,21.3,15.2,Very Unhealthy,Zone E,2009,,4.35,38.7,75.83
TREE_01488,37.655423240508135,-122.10989367573218,Birch,4.37,6.73,Partial,None,0.07,3,0,11.27,29.1,89.4,461.6,13.5,7.5,24.4,Very Unhealthy,Zone D,1988,2004.0,3.89,10.6,99.62
TREE_01489,37.67947744904901,-122.2180535394723,Maple,13.54,5.29,Sparse,Fungal Infection,0.14,9,0,13.16,33.0,47.8,438.6,-3.9,12.8,30.5,Unhealthy,Zone B,1970,,3.34,36.9,46.78
TREE_01490,37.59501765234973,-122.36941878374456,Oak,13.16,5.0,Partial,None,0.66,2,0,10.01,27.4,67.4,395.4,7.7,17.1,29.7,Very Unhealthy,Zone E,1957,,5.12,32.6,59.83
TREE_01491,37.64930071665174,-122.15252344032848,Maple,10.29,5.27,None,None,0.52,5,0,10.52,22.8,47.0,466.0,9.5,13.3,41.2,Moderate,Zone C,1991,,2.84,46.2,10.19
TREE_01492,37.59090785090526,-122.21630452792196,Birch,9.32,3.39,Partial,None,0.16,5,0,6.09,29.3,53.6,450.1,6.9,25.6,11.8,Good,Zone E,2008,2022.0,4.03,54.6,95.04
TREE_01493,37.52927836950738,-122.10187819527181,Oak,11.2,4.21,None,None,0.54,1,0,30.72,27.4,63.0,477.8,16.8,3.6,28.3,Good,Zone D,1969,2007.0,6.86,70.3,59.63
TREE_01494,37.74137943735255,-122.13248740690508,Elm,16.87,5.01,None,Fungal Infection,0.91,4,0,20.86,27.3,66.7,461.0,4.5,7.1,23.7,Very Unhealthy,Zone E,2010,,5.81,27.3,10.28
TREE_01495,37.767285119422006,-122.19494603898188,Willow,4.71,4.71,Full,None,0.02,0,0,14.83,32.0,76.2,382.3,17.3,13.7,20.9,Very Unhealthy,Zone C,1960,,3.36,60.1,40.0
TREE_01496,37.74779613840384,-122.25591116234459,Willow,12.35,6.91,None,None,0.64,8,0,13.69,33.2,77.5,377.0,1.4,4.3,22.7,Moderate,Zone C,1981,2022.0,5.46,75.6,8.13
TREE_01497,37.68539761752023,-122.43340893716623,Pine,7.27,5.33,None,Fungal Infection,0.07,8,0,21.34,18.6,61.1,378.7,12.4,30.0,32.7,Unhealthy for Sensitive Groups,Zone D,1953,2009.0,3.24,31.7,49.72
TREE_01498,37.65191431207169,-122.3693334910573,Oak,9.94,6.28,Partial,None,0.01,2,1,14.8,21.3,34.5,439.0,19.8,31.4,31.5,Good,Zone C,1978,2003.0,4.52,41.6,27.71
TREE_01499,37.84533345982873,-122.29045026354146,Birch,9.26,5.01,None,None,0.15,4,0,30.91,28.0,63.5,467.1,9.0,3.1,28.0,Very Unhealthy,Zone D,1954,,6.13,28.5,34.03
TREE_01500,37.70763271405448,-122.20035035649681,Oak,8.72,6.58,None,None,0.42,2,0,11.33,26.1,58.7,452.9,12.1,22.9,16.5,Unhealthy,Zone E,1988,2012.0,3.63,20.0,6.91
TREE_01501,37.69167275105189,-122.24314607239235,Maple,9.97,5.6,Partial,Root Rot,0.8,6,0,31.47,28.0,42.9,328.6,17.1,16.0,27.3,Very Unhealthy,Zone E,1972,2006.0,4.94,78.1,76.24
TREE_01502,37.510256826322575,-122.35590773702023,Cedar,6.6,5.02,Sparse,Insect Infestation,0.28,0,0,24.92,23.7,30.6,364.3,17.0,19.9,41.3,Very Unhealthy,Zone A,1965,2018.0,3.81,31.6,84.11
TREE_01503,37.63649913105046,-122.49676782110514,Redwood,13.09,4.98,Full,Bacterial Wilt,0.63,4,0,33.7,23.2,49.0,434.2,13.5,25.3,13.6,Good,Zone D,1999,2015.0,3.33,43.1,14.01
TREE_01504,37.65207824751434,-122.25188038904959,Oak,4.62,3.57,Partial,Bacterial Wilt,0.41,5,0,5.45,17.4,45.6,461.4,11.1,-0.6,22.9,Very Unhealthy,Zone B,1960,,4.79,32.3,75.07
TREE_01505,37.65952911235876,-122.35718700571888,Willow,11.62,5.76,None,Leaf Spot,0.23,10,0,6.77,27.5,59.0,415.4,11.0,30.7,18.5,Unhealthy,Zone D,2021,,4.64,13.9,12.86
TREE_01506,37.732068947690934,-122.13269584964473,Willow,9.02,4.94,Partial,Insect Infestation,0.51,6,1,20.03,18.5,75.7,476.4,5.0,25.2,19.0,Unhealthy,Zone E,1997,,2.41,75.6,8.55
TREE_01507,37.71344101869075,-122.48802686736475,Redwood,6.49,4.25,Sparse,Fungal Infection,0.8,2,0,32.37,28.4,56.3,305.5,6.9,30.9,27.6,Unhealthy,Zone E,1983,2001.0,3.62,67.9,11.41
TREE_01508,37.74316203711738,-122.2075860943471,Willow,10.61,6.66,Partial,None,0.83,6,0,26.92,34.3,87.1,389.5,12.2,1.5,23.6,Moderate,Zone C,1970,2000.0,2.59,52.9,3.18
TREE_01509,37.80595330461685,-122.02926288124696,Elm,5.33,3.12,Partial,None,0.85,3,0,23.66,20.1,43.3,470.9,13.4,19.7,21.4,Unhealthy,Zone A,2012,,2.0,70.7,37.61
TREE_01510,37.82519429548643,-122.41279536644426,Oak,10.12,4.37,Partial,Insect Infestation,0.34,9,0,5.95,17.8,43.3,417.0,24.9,25.4,30.2,Good,Zone B,1966,,3.8,86.2,95.29
TREE_01511,37.787249230490595,-122.2641752546247,Pine,5.73,6.54,Partial,Leaf Spot,0.79,10,0,15.62,15.5,66.3,359.7,15.9,24.4,14.3,Unhealthy for Sensitive Groups,Zone A,1983,,4.4,65.7,89.93
TREE_01512,37.882209478381974,-122.45428900409144,Oak,11.38,5.47,None,None,0.21,5,0,15.38,22.6,83.8,439.5,10.3,28.5,50.0,Very Unhealthy,Zone D,2000,,5.17,91.6,33.19
TREE_01513,37.507293033070546,-122.18715904386933,Cedar,7.23,4.93,Partial,Insect Infestation,0.74,4,0,21.26,19.3,70.3,406.9,14.6,24.6,24.3,Very Unhealthy,Zone D,2016,2013.0,2.15,28.1,79.46
TREE_01514,37.57831119427342,-122.22473415970188,Willow,8.65,5.38,Sparse,None,0.95,3,0,12.73,24.8,70.4,376.9,3.2,0.5,26.2,Very Unhealthy,Zone E,1973,2017.0,2.63,89.5,82.46
TREE_01515,37.50302514999126,-122.29631723789359,Maple,10.88,5.27,Partial,None,0.01,5,0,13.01,25.5,78.4,321.4,12.4,31.5,26.6,Unhealthy,Zone C,1971,,5.76,58.7,15.21
TREE_01516,37.75898988566184,-122.23931148926313,Willow,7.68,2.73,Partial,None,0.44,2,0,23.63,22.0,70.1,434.8,15.4,15.2,20.3,Unhealthy,Zone B,1959,,3.09,85.7,22.95
TREE_01517,37.859212219579994,-122.0517126707655,Oak,9.83,4.48,None,Fungal Infection,0.65,2,0,33.34,30.0,75.6,345.7,15.5,22.0,42.5,Unhealthy,Zone C,1954,,2.28,76.9,69.05
TREE_01518,37.59739291863052,-122.40185284884447,Elm,5.46,7.42,None,None,0.7,4,1,24.81,33.1,82.0,507.1,11.7,35.5,32.6,Unhealthy for Sensitive Groups,Zone B,1980,,6.05,15.2,26.4
TREE_01519,37.870813817918524,-122.48871774414732,Birch,11.89,4.01,Partial,Insect Infestation,0.18,10,0,25.04,19.2,30.5,310.9,14.8,19.9,4.9,Unhealthy for Sensitive Groups,Zone A,1973,2001.0,3.84,85.4,93.82
TREE_01520,37.52410695611582,-122.06916755765045,Oak,15.29,4.52,None,Bacterial Wilt,0.97,4,0,34.59,31.7,83.1,402.7,10.7,16.5,17.6,Unhealthy for Sensitive Groups,Zone E,1960,2005.0,3.44,40.4,23.07
TREE_01521,37.873774410722206,-122.21144145880605,Oak,18.38,4.19,None,Bacterial Wilt,0.62,8,0,9.6,17.6,42.9,437.6,14.0,8.4,23.6,Unhealthy for Sensitive Groups,Zone C,2000,2003.0,3.16,48.1,79.91
TREE_01522,37.640649074895855,-122.05467077226908,Pine,10.27,4.87,Partial,None,0.16,3,0,6.02,19.6,84.7,349.1,7.3,6.7,36.3,Unhealthy for Sensitive Groups,Zone D,1997,2012.0,2.85,11.0,75.81
TREE_01523,37.54056833137969,-122.20152738829341,Elm,12.36,4.13,None,Bacterial Wilt,0.02,4,1,27.37,26.2,46.0,364.5,6.4,7.9,41.9,Very Unhealthy,Zone E,1953,,3.83,78.3,50.38
TREE_01524,37.69434870367453,-122.09491945502015,Cedar,4.66,5.73,Full,None,0.78,8,0,18.16,21.1,57.3,442.5,18.3,19.6,28.6,Very Unhealthy,Zone B,1957,,4.41,52.0,26.33
TREE_01525,37.6027106270882,-122.28516331832243,Birch,14.51,5.3,Full,None,0.08,3,0,17.86,15.8,86.0,352.5,11.1,41.9,45.9,Unhealthy for Sensitive Groups,Zone E,1956,2000.0,4.53,94.6,3.39
TREE_01526,37.61394916078477,-122.12507003435587,Willow,12.33,6.16,Full,Insect Infestation,0.14,2,0,11.76,20.9,36.6,496.0,14.2,16.9,37.7,Very Unhealthy,Zone D,1981,,1.84,35.3,82.84
TREE_01527,37.622915985970515,-122.04347926655507,Maple,8.55,3.42,None,None,0.57,6,0,20.21,33.1,74.7,402.8,8.1,19.7,51.4,Unhealthy for Sensitive Groups,Zone D,1971,,5.82,54.6,37.78
TREE_01528,37.82121035913306,-122.2139385181389,Oak,13.71,4.49,Full,None,0.6,6,0,18.27,18.5,53.5,379.0,6.4,26.9,24.4,Unhealthy for Sensitive Groups,Zone B,1985,,3.8,47.0,34.01
TREE_01529,37.7156645106701,-122.40960742471881,Cedar,9.24,4.66,Sparse,None,0.69,7,0,15.36,30.3,31.4,481.1,9.3,13.0,26.0,Unhealthy for Sensitive Groups,Zone E,1978,2004.0,4.43,81.3,4.45
TREE_01530,37.6245230796624,-122.3656011924849,Birch,8.63,5.68,Full,Insect Infestation,0.39,3,0,18.28,29.4,86.3,347.1,14.1,33.7,32.1,Very Unhealthy,Zone C,2017,,4.93,58.2,15.13
TREE_01531,37.744133513324364,-122.4006777115513,Maple,11.43,3.81,Sparse,None,0.77,3,0,16.52,17.1,37.1,486.5,1.7,15.1,22.6,Moderate,Zone E,2010,,3.56,51.4,36.79
TREE_01532,37.78646026968928,-122.37657148620214,Cedar,6.81,6.37,None,Fungal Infection,0.97,8,0,33.2,21.6,76.4,350.9,13.0,32.3,37.8,Moderate,Zone D,2002,2001.0,4.59,95.2,69.08
TREE_01533,37.60904960029341,-122.34679227532447,Elm,13.06,6.78,Full,Insect Infestation,0.27,9,0,34.41,18.8,53.1,463.0,15.4,26.0,17.6,Moderate,Zone B,2021,2012.0,4.17,44.0,20.73
TREE_01534,37.66541964061014,-122.22243310662341,Elm,6.83,3.52,Sparse,Insect Infestation,0.7,6,0,30.2,15.5,78.6,493.2,7.6,20.9,15.2,Good,Zone A,1964,2001.0,3.66,54.1,16.36
TREE_01535,37.54875443733478,-122.20600418526809,Birch,6.85,4.26,None,Bacterial Wilt,0.93,2,1,34.71,18.5,75.0,394.8,13.2,13.9,29.4,Moderate,Zone A,1997,2010.0,4.11,59.9,26.23
TREE_01536,37.57245973981387,-122.28675012637908,Willow,7.27,4.2,Full,None,0.69,8,0,12.97,19.0,68.0,394.6,12.8,29.4,44.8,Moderate,Zone E,2003,,3.33,14.8,28.34
TREE_01537,37.77244714158599,-122.19228961008959,Redwood,12.28,8.95,Partial,None,0.68,4,1,30.29,18.3,86.4,385.7,7.7,18.9,34.9,Moderate,Zone D,2017,2008.0,3.01,57.4,41.0
TREE_01538,37.57257533907825,-122.45921253719432,Maple,8.15,4.36,Full,None,0.22,3,0,17.2,16.8,35.9,360.9,11.3,14.9,38.2,Unhealthy,Zone E,2018,,4.17,40.2,36.09
TREE_01539,37.710065353466824,-122.45610588147092,Elm,5.96,7.52,Full,None,0.54,0,0,27.38,25.5,77.9,404.2,11.9,35.9,46.7,Unhealthy for Sensitive Groups,Zone B,2013,2018.0,4.19,68.5,7.39
TREE_01540,37.783618504688974,-122.41408526982117,Redwood,8.18,3.1,Full,Insect Infestation,0.56,8,0,11.04,21.5,70.2,445.3,7.6,-1.1,34.3,Very Unhealthy,Zone C,2015,,4.32,67.9,61.79
TREE_01541,37.5427507692379,-122.24096125097982,Birch,9.9,3.52,Partial,None,0.7,5,0,29.36,33.2,48.9,429.4,10.3,35.1,26.5,Unhealthy,Zone A,1999,,5.71,74.0,13.05
TREE_01542,37.72692488785156,-122.39300266065084,Elm,6.46,3.97,Sparse,None,1.0,10,0,7.5,18.7,62.8,425.4,11.9,40.3,44.6,Unhealthy for Sensitive Groups,Zone E,2021,2014.0,4.37,45.9,86.84
TREE_01543,37.60262511348054,-122.3583577982537,Elm,6.54,3.73,Sparse,Insect Infestation,0.03,1,1,13.12,27.1,68.7,363.3,13.4,11.1,39.7,Moderate,Zone D,1996,,3.57,19.4,85.95
TREE_01544,37.88517075009503,-122.2998435819135,Cedar,16.33,4.6,Partial,Insect Infestation,0.07,6,0,29.66,33.0,74.2,346.1,21.4,13.4,22.7,Moderate,Zone A,2017,,4.25,49.5,7.24
TREE_01545,37.69341825868797,-122.09406693799481,Redwood,7.42,3.94,Full,Insect Infestation,0.08,2,0,27.41,15.9,41.2,488.4,7.2,8.8,21.5,Unhealthy,Zone A,1962,2012.0,6.7,59.7,41.31
TREE_01546,37.82239701991006,-122.49306893204357,Cedar,9.03,3.77,Full,Bacterial Wilt,0.74,5,1,20.04,25.3,36.1,333.3,18.8,28.7,29.5,Very Unhealthy,Zone C,1963,2007.0,2.67,12.2,47.69
TREE_01547,37.72009061686251,-122.17531058988169,Elm,8.9,6.74,Full,Insect Infestation,0.14,7,0,25.18,24.0,36.1,392.4,7.5,13.6,39.0,Unhealthy,Zone E,1958,,6.06,59.3,99.59
TREE_01548,37.51736501314193,-122.16556173447965,Redwood,8.74,6.84,Sparse,Insect Infestation,0.62,2,0,10.57,33.6,47.6,437.6,12.0,18.8,20.3,Unhealthy,Zone C,1977,2008.0,4.5,45.9,25.13
TREE_01549,37.753260550237606,-122.10067210982169,Pine,11.86,6.42,Sparse,None,0.32,4,0,25.03,28.3,39.3,476.1,16.6,26.4,31.3,Unhealthy for Sensitive Groups,Zone D,1987,2017.0,4.09,53.1,63.6
TREE_01550,37.880561336882664,-122.03362353046984,Redwood,12.84,5.79,Partial,Leaf Spot,0.46,5,0,5.24,22.0,62.1,401.1,14.2,3.9,39.1,Good,Zone D,1961,2016.0,3.66,37.3,45.71
TREE_01551,37.740644728058534,-122.48993107552535,Cedar,9.08,5.14,None,Fungal Infection,0.22,0,0,30.0,29.2,56.2,413.7,0.2,4.6,27.5,Very Unhealthy,Zone E,1962,2016.0,3.5,54.3,76.86
TREE_01552,37.82767554377072,-122.4231081472434,Maple,6.29,4.25,Partial,None,0.87,9,1,20.49,26.7,83.6,376.4,17.4,23.3,32.8,Very Unhealthy,Zone A,1970,2007.0,1.97,89.4,24.84
TREE_01553,37.853682585339364,-122.056914352972,Birch,13.82,3.57,Sparse,None,0.59,6,0,33.32,21.9,73.0,486.5,13.6,16.1,34.9,Unhealthy,Zone B,2004,,4.2,80.9,68.09
TREE_01554,37.59123190877957,-122.2707407189065,Birch,9.71,5.54,Full,Insect Infestation,0.94,3,0,19.34,30.7,42.3,468.6,9.2,10.1,37.5,Unhealthy,Zone C,1987,2021.0,5.07,65.4,12.99
TREE_01555,37.584817935963294,-122.21770468053327,Willow,15.19,3.24,Full,Root Rot,0.57,9,1,17.99,28.4,32.7,350.0,11.3,20.0,30.8,Moderate,Zone A,2001,,3.83,66.4,1.51
TREE_01556,37.744392395540395,-122.16848639813843,Maple,3.26,3.51,Full,None,0.12,10,0,18.5,15.1,72.5,432.8,14.1,18.8,28.8,Unhealthy,Zone D,1975,,3.47,90.6,1.82
TREE_01557,37.664411387922684,-122.16046669775218,Maple,10.59,6.73,Full,None,0.17,6,0,15.79,32.3,80.7,394.2,14.9,10.9,40.2,Unhealthy for Sensitive Groups,Zone D,1971,,3.1,53.2,49.27
TREE_01558,37.835944521146686,-122.03412979834175,Maple,15.76,7.85,None,Bacterial Wilt,0.99,6,0,10.0,22.9,72.1,415.6,14.7,21.6,4.3,Moderate,Zone A,2000,2001.0,4.09,58.5,77.07
TREE_01559,37.8600092493592,-122.00152529129417,Willow,8.94,5.59,Partial,Root Rot,0.73,10,0,30.26,27.9,68.6,359.9,8.4,10.1,38.6,Good,Zone A,2021,2015.0,4.69,87.4,57.76
TREE_01560,37.64136855172109,-122.13992126953453,Maple,9.32,6.66,Partial,None,0.05,4,0,16.67,22.9,45.0,302.3,11.9,27.2,35.8,Unhealthy for Sensitive Groups,Zone D,1986,2016.0,5.23,77.9,3.63
TREE_01561,37.59474822358979,-122.35638939539743,Oak,10.89,4.63,Sparse,None,0.7,7,1,20.87,32.6,59.7,344.6,7.8,18.0,45.2,Very Unhealthy,Zone C,1994,,1.75,49.0,55.21
TREE_01562,37.81221020609755,-122.06012379885283,Willow,8.32,2.99,Partial,Insect Infestation,0.41,7,0,5.6,28.0,73.5,372.2,15.8,38.4,35.7,Very Unhealthy,Zone C,1986,,3.43,37.5,11.33
TREE_01563,37.609922414219255,-122.47538954272962,Birch,9.06,5.92,None,None,0.31,4,0,6.81,26.6,41.6,375.1,10.8,7.0,19.6,Unhealthy for Sensitive Groups,Zone A,1963,,4.87,56.6,96.54
TREE_01564,37.82904572740547,-122.38445957356275,Oak,8.99,5.85,None,Bacterial Wilt,0.15,4,0,22.92,34.6,58.6,282.8,14.2,14.1,31.0,Unhealthy,Zone E,1967,,2.59,20.9,35.26
